errors,mean_latency,mean_tokens,median_latency,model,n,usecase
0,2.28,6446,2.28,llama-3.1-8b-instant,1,AI News
0,0.868,457,0.64,llama-3.1-8b-instant,5,Basic Chatbot
2,9.916,1450.875,7.735,llama-3.1-8b-instant,10,Chatbot With Web
0,3.23,6405,3.23,llama-3.3-70b-versatile,1,AI News
0,1.3479999999999999,422.4,1.14,llama-3.3-70b-versatile,5,Basic Chatbot
0,2.37,1083.1,2.36,llama-3.3-70b-versatile,10,Chatbot With Web
0,2.08,6086,2.08,meta-llama/llama-4-scout-17b-16e-instruct,1,AI News
0,1.134,439,1.19,meta-llama/llama-4-scout-17b-16e-instruct,5,Basic Chatbot
0,1.893,1290.2,0.8700000000000001,meta-llama/llama-4-scout-17b-16e-instruct,10,Chatbot With Web
0,6.92,8546,6.92,openai/gpt-oss-120b,1,AI News
0,2.08,1023.4,1.09,openai/gpt-oss-120b,5,Basic Chatbot
2,21.41,1093,4.255,openai/gpt-oss-120b,10,Chatbot With Web
0,3.326,1152.4,3.19,qwen/qwen3-32b,5,Basic Chatbot
1,13.006,1157,10.925,qwen/qwen3-32b,10,Chatbot With Web
